,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,City ID
81,mirnyy,61.639252781237786,113.76928039240971,33.6,100,88,3.18,502265
82,ust-tsilma,66.43350181686304,51.5217593173229,15.96,90,0,5.75,477940
83,yanan,37.67150210462566,108.02522161946263,,,,,
84,kashi,38.29654091907801,75.10826748359682,,,,,
85,faanui,-7.309778267576846,-152.9107845628602,80.94,100,0,19.95,4034551
86,qaqortoq,60.906500722403194,-45.8892437146375,24.8,68,36,2.24,3420846
87,husavik,80.77116560807269,-6.66176873496201,24.37,90,44,9.66,5961417
88,champasak,14.253054796964236,106.42297290199838,70.54,99,24,2.39,1657819
89,mundwa,26.839855201028655,73.69911441031118,53.31,61,0,2.73,1262491
90,raudeberg,70.50944154435129,0.40684380531035913,51.1,71,80,16.11,3146487
91,butaritari,6.41164633899831,162.8523491832937,85.53,100,92,20.4,2110227
92,norman wells,73.94991078320399,-125.37823006742858,5.0,92,75,2.24,6089245
93,ribeira grande,35.292457278544035,-37.26767418818463,64.4,88,75,23.04,3372707
94,jamestown,-7.1899649338659515,-0.22122560937970093,43.05,79,12,3.74,2069194
95,severo-kurilsk,40.968456956046595,166.11359154949793,38.55,100,36,14.36,2121385
96,bluff,-69.94751425155972,166.70022659584447,63.21,42,0,11.56,2175403
97,ilulissat,71.26650326474083,-43.41132979027455,17.6,67,75,10.29,3423146
98,prachuap khiri khan,11.120680239138323,100.98198513988689,71.76,99,92,1.16,1151074
99,kuminskiy,58.26669136235844,67.15436728694499,11.91,75,56,9.44,1501429
100,qui nhon,14.376771246198999,113.94558993556461,,,,,
101,carnarvon,-19.360209499789946,103.25659229856893,50.79,16,0,10.45,1014034
102,mangrol,15.259291746241473,64.44569822212657,52.32,73,0,2.73,1263751
103,bethel,46.610292296853174,-169.1836086401393,26.06,92,1,9.17,5880568
104,asfi,34.49716252908013,-11.888671571153026,,,,,
105,antropovo,58.16663836138602,43.16391408659405,35.6,93,90,2.24,581459
106,pueblo,37.85176964468289,-104.22600026373036,40.32,45,40,5.82,5435464
107,vaitupu,-9.05588171682706,-178.81797422743665,,,,,
108,olafsvik,60.55651079322968,-29.398150002523096,,,,,
109,katsuura,20.755625363502418,154.1140194491324,64.0,88,75,12.75,1865309
110,barrow,82.89740455521064,-156.81239203192325,83.59,31,0,24.09,3833859
111,redmond,44.29376117807149,-120.90843779865925,47.75,68,20,3.36,5808079
112,hobyo,5.209833043153125,49.60561120617666,78.69,87,56,8.66,57000
113,skibbereen,47.69630637262753,-9.54196734740637,42.8,93,75,4.7,2961459
114,cayenne,13.1421087792627,-44.18706123287856,82.4,74,0,6.93,3382160
115,hoquiam,46.66077625035513,-125.50235970907973,48.61,73,1,8.05,5797693
116,sterling,41.10141950407365,-102.90247290334672,55.06,43,1,5.53,4787534
117,vardo,73.80409018773796,31.07657432201333,52.47,37,1,2.95,4372777
118,ahipara,-35.6878494533032,172.4595159520632,64.29,84,88,16.37,2194098
119,rundu,-16.583337433006264,20.810305618661374,76.84,27,80,8.99,3353383
120,north bend,43.27024011711393,-133.15638131691543,60.08,40,1,4.85,5742974
121,maarianhamina,59.44885147104003,19.915141903582764,,,,,
122,ancud,-40.30171458901495,-93.34273969230644,54.52,100,92,3.96,3899695
123,canmore,51.505569142986076,-115.016054327698,26.6,53,1,4.7,5914894
124,sao gabriel da cachoeira,-0.9547028865710274,-68.10202739003167,81.48,93,24,1.16,3662342
125,dikson,77.93428941703957,78.0240166322821,15.1,100,48,26.89,1507390
126,beloha,-27.83292395948382,42.15991413190716,63.84,81,44,12.68,1067565
127,namibe,-18.41243218412744,4.189383766864523,70.72,100,12,3.62,3347019
128,nelson bay,-33.67136160162467,153.3094667246512,62.6,67,32,3.36,2155562
129,gonbad-e qabus,37.64122446983161,54.97700761388978,39.18,84,24,2.84,132938
130,port alfred,-89.75985290748713,56.13483567577211,61.54,91,0,6.2,964432
131,chokurdakh,87.83251904991448,154.00564143746544,-18.79,55,8,6.76,2126123
132,beringovskiy,56.28956096885554,175.13299720091993,36.34,100,92,23.31,2126710
133,nizwa,23.84069660652783,56.377031110923554,63.79,83,12,2.17,286987
134,dingle,50.05196902376454,-21.93883841695802,78.37,83,56,11.12,1714733
135,bredasdorp,-86.02660889889351,27.458938057571686,53.6,87,0,11.79,1015776
136,longyearbyen,86.5934906161119,18.672974646517446,28.4,74,20,2.24,2729907
137,ilebo,-2.890238103755138,21.0995640100858,74.1,91,88,2.84,215976
138,bambous virieux,-25.60187725574154,67.0635154658356,77.0,78,40,13.87,1106677
139,harper,-1.362469005701172,-10.803012459470239,60.37,90,90,3.36,4696310
140,hapao,16.759679382293868,120.9754903339039,63.48,95,44,2.28,1711876
141,steamboat springs,40.322010901559395,-106.1765454650609,31.19,56,40,8.05,5582371
142,ossora,58.65751310009824,164.0867422689755,13.98,100,48,1.95,2122389
143,port elizabeth,-55.79755532000729,31.390738594246812,55.06,43,1,6.93,4501427
144,flin flon,58.883137260391436,-101.55027599807832,10.4,66,40,5.82,5954718
145,cherskiy,85.70392591097789,164.0391569926025,-10.55,72,48,3.18,2126199
146,klaksvik,73.87780105275323,-1.9245187536631079,44.6,81,48,16.11,2618795
147,mys shmidta,81.37826175464528,-175.9288444227486,,,,,
148,faya,21.5620273701919,20.91642595213014,59.88,48,0,5.82,110690
149,bagdarin,55.01799032400274,113.67819162372052,-6.82,64,24,1.72,2027244
150,belushya guba,79.952720610202,53.82557859453695,,,,,
151,kabanjahe,2.3022763281043694,97.27060019026976,77.0,94,40,5.82,1214965
152,bardiyah,31.69238572834513,25.356438331342304,,,,,
153,chuy,-57.68932315528195,-25.112126520029648,73.6,66,0,21.85,3443061
154,pokhara,29.211592180099856,83.93672997973732,40.44,79,12,1.95,1282898
155,sorong,-0.6273109036373512,130.44635446879306,81.66,100,0,8.21,1626542
156,sondrio,46.45907948516654,9.912653961874526,46.83,93,20,2.24,6539617
157,grevesmuhlen,54.04075194836565,11.207709509803863,49.12,99,92,3.85,2917520
158,belaya gora,69.04986851330256,146.58492145020102,-25.36,39,0,3.18,2126785
159,heihe,50.27323582613616,126.86340165370325,15.8,92,20,4.47,2036973
